date,T1,T3,T6,T5,T8,T10
2014-10-31,2.324464688205286e-08,7.632200033322358e-07,9.455971828586314e-07,9.519329822145677e-06,1.284352411940919e-07,0.5114623483515633
2014-11-30,,,,,,
2014-12-31,1.546878514830573e-14,3.603676297788055e-08,2.7682624949116945e-06,1.3039108144468692e-07,3.4777865363805806e-12,0.6702674831175812
2015-01-31,2.5558873207784777e-12,7.610300988622039e-08,3.0812725501830606e-07,3.379925445209421e-08,1.247888038278268e-12,0.3280030879086603
2015-02-28,,,,,,
2015-03-31,5.5433440814621975e-14,1.844153199231609e-07,1.1611173531601847e-06,3.86206742508716e-07,1.1623821768876152e-12,0.8207590329550096
2015-04-30,6.243642132093591e-14,1.873933922607386e-08,2.2241193896619723e-06,2.0970757926387224e-08,8.132335496929918e-14,0.8650717053416913
2015-05-31,,,,,,
2015-06-30,5.5272732374092274e-12,4.697725844243908e-08,8.901780312545227e-06,8.831323897211021e-08,2.1361124258491047e-11,0.9991226549454146
2015-07-31,1.1100651967206992e-13,5.9350801001523276e-08,5.199677690257401e-06,3.377372402974203e-08,2.2517155088068004e-12,0.9993645368832258
2015-08-31,,,,,,
2015-09-30,1.5220417897539745e-12,1.9066598075654993e-08,3.5025249950780455e-05,2.6045606767005532e-09,9.388146830345386e-13,0.9998670090478355
2015-10-31,1.472490684375371e-10,2.2401537345488602e-06,0.00019716028467716768,7.135465242044582e-07,1.4732573295286717e-09,0.9983123157901537
2015-11-30,,,,,,
2015-12-31,6.173365953267092e-11,6.412815445813174e-07,0.24371534701891132,2.811926408252958e-07,1.8479889278477819e-09,0.6947050905505552
2016-01-31,1.0104475798421095e-11,1.473420783293838e-07,0.06081664037517697,6.626845399761664e-08,1.739704143762145e-10,0.28454119301669345
2016-02-29,,,,,,
2016-03-31,1.790115480782416e-12,6.016782735590284e-07,0.18872403183825842,3.7919093348626476e-08,3.067815914874695e-12,0.5421246769430187
2016-04-30,2.1147658523451236e-12,8.549864456277194e-05,0.26154230550416985,2.2958049727832623e-06,1.1377322674076583e-07,0.568846490613461
2016-05-31,,,,,,
2016-06-30,1.1394839554173153e-09,4.5042278631637726e-07,0.35001095811732325,2.61331518769848e-06,3.5520307599939226e-09,0.6402035873504341
2016-07-31,1.8171636780049876e-06,2.3611769553377058e-05,0.3457112505577781,0.0002884582274397813,3.7990012442290294e-07,0.6440334641441893
2016-08-31,,,,,,
2016-09-30,2.7821403485774577e-08,4.414531421328739e-06,0.2853885097645581,2.4504587352298916e-07,5.5177443525610675e-06,0.26646110437219794
2016-10-31,,,,,,
2016-11-30,7.083381985741524e-08,0.00015778261729720063,0.4518445694166412,3.591131440327303e-05,1.1407069904300641e-07,0.5024238993137875
2016-12-31,1.0516799280595316e-11,0.00014019373285246759,0.631895405054091,8.093481075713934e-05,8.163368192012746e-09,0.2905909419157458
2017-01-31,,,,,,
2017-02-28,1.1165925042490875e-14,2.1917031574123792e-08,0.27586367842736265,1.0489040569730957e-08,4.160304210762248e-13,0.07069049305114294
2017-03-31,6.028079159350424e-13,2.7853796320028357e-06,0.603845794281949,7.161293371322787e-07,6.264274918148938e-13,0.09030094776810701
2017-04-30,,,,,,
2017-05-31,3.1340086312389463e-12,1.7102753161797707e-06,0.7013543776558393,7.76755142098596e-07,2.01085606073334e-11,0.05853677862736845
2017-06-30,4.5143685201690314e-10,2.703666710059962e-05,0.8460637355894589,3.593013973925141e-07,6.716040155930906e-10,0.00037538300419368524
2017-07-31,2.326240143516831e-08,2.1712417706411613e-06,0.9472518467369698,4.784574115265295e-07,2.414795837423714e-09,0.0007662596815249142
2017-08-31,,,,,,
2017-09-30,2.05460135647778e-09,7.69711309717902e-06,0.6949541464512025,3.1212728246972332e-06,5.677281374730536e-07,0.00022840524398968048
2017-10-31,,,,,,
2017-11-30,1.1085370561760817e-08,7.001431804555974e-06,0.8840584806029834,5.839863298862705e-06,1.4778258064736541e-06,1.1385163604678552e-05
2017-12-31,4.3275847435899656e-11,5.411633698245089e-07,0.9710633898239629,1.0109119770609312e-06,3.736099025798433e-10,8.943830415449595e-05
2018-01-31,4.0163335930739863e-13,1.1496914759969249e-07,0.3387133413474324,4.821556122361388e-08,8.30372330499821e-12,1.948510239497031e-06
2018-02-28,,,,,,
2018-03-31,1.2674097206475166e-15,2.9477748448134436e-06,0.7446819182999209,5.15490123342404e-07,4.611383792483004e-15,7.19336717945714e-06
2018-04-30,,,,,,
2018-05-31,5.912201423191918e-17,2.0869460039195085e-06,0.864982289005186,8.403851214220616e-06,2.9863255878042443e-12,3.832158959243035e-06
2018-06-30,1.6993477962950934e-15,5.677961482920311e-07,0.9799756827290714,5.8113572951337894e-06,1.591749992631089e-12,2.5737632327166517e-07
2018-07-31,,,,,,
2018-08-31,1.0438147635851026e-08,1.5273438850952778e-05,0.562229177547402,6.592953721141801e-05,6.134426827650579e-10,6.394834752746804e-06
2018-09-30,3.4073014829463276e-11,4.6076703695144334e-05,0.7151919520062577,4.4523822779150886e-06,8.146628023387935e-10,3.329722130258144e-06
2018-10-31,,,,,,
2018-11-30,7.476038410425581e-10,1.6895662023484518e-05,0.3626291823506856,2.6250470126215783e-06,1.0525632292733272e-10,7.987826609887206e-06
2018-12-31,1.0963218361678375e-10,1.8737269258960713e-05,0.29937800704855666,1.106127434877625e-06,1.5523004211680902e-10,4.6505735434053665e-05
2019-01-31,7.115102404949435e-14,1.0596634105560822e-06,0.0071368778925094455,1.6688426332176773e-06,6.203093991767158e-14,4.9226811582115346e-06
2019-02-28,,,,,,
2019-03-31,2.1363117532108135e-13,3.345885746910002e-06,0.014208826255215875,6.757345873851068e-07,6.025518880258299e-14,4.789493735233684e-05
2019-04-30,,,,,,
2019-05-31,1.2564511182784508e-13,1.760678505857307e-06,0.026595749264845932,7.0877988886507935e-06,1.467614901928046e-12,7.029445513605088e-05
2019-06-30,3.3626541094007457e-12,1.1326632610756369e-06,8.742410492479778e-05,8.99395618069552e-07,4.493860471295101e-12,1.944947062064899e-06
2019-07-31,2.873805401597565e-12,8.079494521270323e-06,0.0031328940708560443,4.4279038743451065e-06,7.050276591417129e-12,1.0372505208926722e-05
2019-08-31,,,,,,
2019-09-30,9.00793930615633e-11,2.5047483407598804e-06,6.596041219045973e-05,2.4269928757760523e-06,5.7858798645124957e-11,3.977974808719645e-06
2019-10-31,5.928539560895005e-12,6.218727632526409e-06,6.985701831474056e-07,0.00035283617060795456,3.706869955732142e-13,9.882858929223553e-07
2019-11-30,,,,,,
2019-12-31,2.3692392768715777e-13,1.3530133058433957e-05,6.632200353913987e-05,5.854339795009225e-06,3.785335797897357e-12,3.9036293137763577e-07
2020-01-31,4.6156830400386667e-14,2.3286155937353257e-05,6.888925246725871e-05,0.00018143856381675,9.77343312971654e-15,4.587716394326521e-07
2020-02-29,,,,,,
2020-03-31,2.4213688405042254e-12,0.00015345011341392296,0.0003385223798578591,0.341957959727432,2.1590240668536138e-14,3.87428444228266e-06
2020-04-30,3.909338692409523e-13,1.6174400242054913e-06,0.001688531380623106,0.8673843019777387,1.3966373789758975e-14,1.1067202145104759e-05
2020-05-31,,,,,,
2020-06-30,3.3606022266807086e-11,1.5680076433108267e-06,8.300301001012542e-05,0.9387376549718429,1.0469600609645073e-13,1.6484188264447018e-05
